SKU,Name,Quantity,Selling Price,Date,Notes
SKU-FORT-003,Fortune Pure Mustard Oil (1L),3,175.00,2026-05-18T10:30:00Z,POS Counter Cash
SKU-CADB-004,Cadbury Dairy Milk Silk (150g),5,160.00,2026-05-18T11:45:00Z,Online UPI Delivery
SKU-NESC-005,Nescafe Classic Instant Coffee (200g),2,360.00,2026-05-18T14:15:00Z,Counter Card Payment
SKU-DETT-007,Dettol Liquid Handwash Refill (1.5L),4,240.00,2026-05-19T09:00:00Z,POS Counter Cash
SKU-AMUL-013,Amul Salted Butter (500g),6,265.00,2026-05-19T10:15:00Z,Home Delivery WhatsApp Order
SKU-MAGG-006,Maggi 2-Min Masala Noodles (12-Pack),12,168.00,2026-05-19T11:00:00Z,Bulk School Canteen Order
SKU-COLG-001,Colgate MaxFresh Gel Paste (150g),10,95.00,2026-05-19T12:30:00Z,POS Counter Cash
SKU-GILL-014,Gillette Mach3 Turbo Cartridges (4s),2,750.00,2026-05-19T13:45:00Z,Counter Card Payment
SKU-SURF-009,Surf Excel Easy Wash Powder (3kg),3,420.00,2026-05-19T14:00:00Z,UPI Payment Counter
SKU-LIZO-011,Lizol Floor Cleaner Citrus (2L),2,380.00,2026-05-19T15:30:00Z,POS Counter Cash
