SKU,Name,Description,Category,Quantity,Cost Price,Selling Price,Min Stock,Supplier
SKU-COLG-001,Colgate MaxFresh Gel Paste (150g),Intense cooling crystal toothpaste for fresh breath,Personal Care,45,75.00,95.00,15,Apex FMCG Distributors
SKU-TATA-002,Tata Salt Vacuum Evaporated (1kg),Pure iodized cooking salt,Staples,110,20.00,28.00,20,A-1 Wholesalers
SKU-FORT-003,Fortune Pure Mustard Oil (1L),Kachi Ghani cold pressed mustard oil for cooking,Staples,4,135.00,175.00,12,A-1 Wholesalers
SKU-CADB-004,Cadbury Dairy Milk Silk (150g),Premium smooth milk chocolate,Snacks,80,120.00,160.00,20,Apex FMCG Distributors
SKU-NESC-005,Nescafe Classic Instant Coffee (200g),Rich aroma instant coffee powder blend,Beverages,3,280.00,360.00,10,A-1 Wholesalers
SKU-MAGG-006,Maggi 2-Min Masala Noodles (12-Pack),Instant noodles with signature spice mix,Snacks,95,130.00,168.00,25,A-1 Wholesalers
SKU-DETT-007,Dettol Liquid Handwash Refill (1.5L),Germ protection hand soap refill pack,Personal Care,2,185.00,240.00,8,Apex FMCG Distributors
SKU-HALD-008,Haldiram's Bhujia Sev (400g),Spicy moth bean gram flour noodles snacks,Snacks,65,72.00,99.00,15,A-1 Wholesalers
SKU-SURF-009,Surf Excel Easy Wash Powder (3kg),High performance laundry detergent powder,Home Utilities,35,340.00,420.00,10,Apex FMCG Distributors
SKU-LIPT-010,Lipton Yellow Label Tea (1kg),Rich taste pure black tea blend,Beverages,120,260.00,340.00,20,A-1 Wholesalers
SKU-LIZO-011,Lizol Floor Cleaner Citrus (2L),Disinfectant surface cleaner liquid,Home Utilities,6,290.00,380.00,12,Apex FMCG Distributors
SKU-COMF-012,Comfort Fabric Conditioner (860ml),Fragrant fabric softener liquid after wash,Home Utilities,24,160.00,220.00,8,Apex FMCG Distributors
SKU-AMUL-013,Amul Salted Butter (500g),Premium pasteurized dairy table butter,Dairy,8,210.00,265.00,15,A-1 Wholesalers
SKU-GILL-014,Gillette Mach3 Turbo Cartridges (4s),Triple blade precision shaving cartridge pack,Personal Care,40,580.00,750.00,10,Apex FMCG Distributors
SKU-REDB-015,Red Bull Energy Drink (250ml Can),Vitalizes body and mind carbonated energy drink,Beverages,150,95.00,125.00,30,A-1 Wholesalers
